PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,ENTUNAVAILREASON,ENTPOP,ENTAGG,ENTAGGYEAR,ENTYEAR1,ENTYEAR2,ENTSBJ,ACCESS,ALEVEL,BACC,DEGREE,FOUNDTN,NOQUALS,OTHER,OTHERHE
10000055,10004930,FDA-BMP,1,0,,,,,,,,,,,,,,
10000055,10004930,FDA-BMP,2,1,,,,,,,,,,,,,,
10000055,10004930,FDA-EYA-AW,1,0,20,24,2021-23,2022-23,2021-22,,0,95,0,0,0,0,0,5
10000055,10004930,FDSC-ATR,1,0,10,14,2022-23,2022-23,,,0,100,0,0,0,0,0,0
10000055,10004930,FDSC-ATR,2,1,,,,,,,,,,,,,,
10000080,10004797,NTAD162_1,1,0,10,24,2021-23,2022-23,2021-22,,10,45,0,10,0,0,35,0
10000163,10000163,BSRDIF-B821,1,0,20,14,2022-23,2022-23,,,25,50,0,10,5,0,0,15
10000163,10000163,BSRROF-B822,1,0,20,24,2021-23,2022-23,2021-22,,0,90,0,0,0,0,0,10
10000163,10000163,BSSEHF-C607,1,0,15,24,2021-23,2022-23,2021-22,,0,95,0,0,0,0,0,5
10000163,10000163,BSSEPF-C813,1,1,,,,,,,,,,,,,,
10000163,10000163,BSSRF-C630,1,0,190,12,2022-23,2022-23,,CAH02-06,3,83,3,4,0,0,0,6
10000163,10000163,BSSRF-C630,1,0,10,13,2022-23,2022-23,,CAH03-02-01,0,90,0,0,0,0,0,10
10000163,10000163,MCCF-B320,1,0,185,14,2022-23,2022-23,,,3,83,3,4,0,0,0,7
10000216,10000216,177650,1,0,20,23,2021-23,2022-23,2021-22,CAH20-02-02,0,20,0,70,0,5,0,5
10000216,10000216,177650,2,0,,,,,,,,,,,,,,
10000216,10000216,532986,1,0,20,24,2021-23,2022-23,2021-22,,0,30,0,45,0,10,0,15
10000216,10000216,532986,2,1,,,,,,,,,,,,,,
10000291,10000291,K00001,1,0,140,14,2022-23,2022-23,,,2,93,1,1,0,0,3,1
