GOSECSBJ,KISMODE,KISLEVEL,GOSECLQ_UK,GOSECMED_UK,GOSECUQ_UK,GOSECPOP_UK,GOSECLQ_E,GOSECMED_E,GOSECUQ_E,GOSECPOP_E,GOSECLQ_NI,GOSECMED_NI,GOSECUQ_NI,GOSECPOP_NI,GOSECLQ_S,GOSECMED_S,GOSECUQ_S,GOSECPOP_S,GOSECLQ_W,GOSECMED_W,GOSECUQ_W,GOSECPOP_W
CAH01,01,03,32000,35000,40000,8885,32000,35000,40000,7240,32000,38000,47000,245,32000,38000,45000,975,30000,33000,39000,405
CAH01,01,04,20000,25000,31500,15,19000,24000,30000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01,02,03,23000,25500,44000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01,02,04,32500,36000,44000,80,33000,36000,43000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01,01,03,32000,35000,40000,8885,32000,35000,40000,7240,32000,38000,47000,245,32000,38000,45000,975,30000,33000,39000,405
CAH01-01,01,04,20000,25000,31500,15,19000,24000,30000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01,02,03,23000,25500,44000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01,02,04,32500,36000,44000,80,33000,36000,43000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01-01,01,03,22000,28500,32000,120,22500,29000,32000,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01-02,01,03,32000,35000,40000,8090,32000,35000,40000,6585,32000,40000,47000,215,32000,38000,45000,905,30000,33000,38000,365
CAH01-01-03,01,03,27000,28000,30000,95,27000,28000,29000,80,NA,NA,NA,NA,26000,28000,30000,15,NA,NA,NA,NA
CAH01-01-03,02,04,32500,36000,44000,80,33000,36000,43000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01-04,01,03,34500,40000,50000,580,34500,40000,50000,460,32000,35000,50000,25,35000,40000,45000,55,35000,37500,65000,35
CAH01-01-04,01,04,20000,25000,31500,15,20000,25000,30000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02,01,03,25000,27000,30000,38050,25000,27000,30000,30515,24000,25000,27000,1400,26000,26500,30000,3820,25000,27000,28000,2260
CAH02,01,04,25000,27000,32000,1515,24500,27000,31000,1235,NA,NA,NA,NA,30000,34000,38000,185,25000,26000,27000,90
CAH02,02,03,26000,32000,40000,2785,27000,32000,40000,2275,25000,26000,33000,150,28500,35500,45000,245,26000,29000,36000,115
CAH02,02,04,27000,32000,38000,1415,27000,32500,38500,1045,29000,40000,45000,65,27000,33500,37500,125,24000,27500,33500,175
CAH02-02,01,03,25000,33000,39500,2425,25000,33000,39000,1985,25000,33000,40000,80,26000,33000,42000,265,27000,33000,36000,90
CAH02-02,02,03,22000,26000,40000,15,22000,26500,43000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-02,02,04,40000,45000,56000,20,40000,45000,56000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-02-01,01,03,23000,26000,30000,580,23500,27000,31000,460,22000,26000,28500,15,23500,26000,29000,85,18000,25000,27000,20
CAH02-02-03,01,03,30000,35000,41000,1840,28500,35000,40000,1520,30000,35000,40000,65,32500,38000,45000,180,32000,35000,36000,75
CAH02-02-03,02,03,22000,26500,43000,10,22000,26500,43000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-02-03,02,04,40000,45000,56000,20,40000,45000,56000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04,01,03,25500,27000,28500,19855,25500,27000,29000,15280,24000,25000,27000,795,26000,26000,30000,2445,25000,27000,28000,1310
CAH02-04,01,04,24000,27000,32000,275,24000,27000,33500,230,NA,NA,NA,NA,26000,27500,30000,30,NA,NA,NA,NA
CAH02-04,02,03,26000,32000,40000,1850,27000,31500,39000,1435,25000,26000,32000,115,29000,37000,45000,205,26000,28000,36000,85
CAH02-04,02,04,30000,34500,40000,750,31000,35000,40000,550,37000,41000,45000,40,31000,36000,37500,75,22000,24000,33000,80
CAH02-04-01,01,03,25500,27000,28500,765,25500,27000,30500,330,NA,NA,NA,NA,NA,NA,NA,NA,25500,27000,28000,420
CAH02-04-01,01,04,22000,24000,26500,100,21000,24000,25000,75,NA,NA,NA,NA,26500,28000,30000,20,NA,NA,NA,NA
CAH02-04-01,02,03,33000,40000,45500,675,33000,40000,45000,485,32000,41500,45000,30,35000,40000,46500,125,27500,34000,41000,35
CAH02-04-01,02,04,28000,35000,40000,420,30000,35500,40000,280,37000,41500,45000,35,30000,36000,38000,50,21000,23000,25000,55
CAH02-04-02,01,03,25000,27000,28000,10675,25000,27000,28000,8045,24000,25000,27000,510,26000,26000,29000,1585,25000,27000,27000,535
CAH02-04-02,02,03,25000,26000,28000,620,25000,27000,28000,465,24500,25000,27000,55,26000,30000,37000,70,25500,26000,27000,30
CAH02-04-02,02,04,32000,39000,46000,50,32000,39000,46000,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-03,01,03,33000,36000,40000,275,33000,36000,40500,250,32000,35000,38000,15,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-03,01,04,33500,35000,36000,45,33500,35000,36000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-03,02,03,32000,36000,40000,70,32000,35000,38000,50,NA,NA,NA,NA,NA,NA,NA,NA,32000,36000,40000,15
CAH02-04-03,02,04,30000,35000,37500,65,25500,30000,36500,35,NA,NA,NA,NA,35000,35000,37500,20,34000,34000,40000,15
CAH02-04-04,01,03,25500,27500,32000,2360,25500,27500,32000,2015,25000,25500,27500,50,26000,28000,32500,185,25000,27000,32000,100
CAH02-04-04,01,04,25000,27500,28000,15,NA,NA,NA,NA,NA,NA,NA,NA,24000,27500,27500,10,NA,NA,NA,NA
CAH02-04-04,02,03,26000,30000,33500,90,27000,31000,34000,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-05,01,03,25000,27000,28000,2195,25500,27000,28000,1810,25000,25000,27000,70,25000,26000,26500,230,25000,27000,27000,85
CAH02-04-05,02,03,25000,27000,29000,60,25000,27000,29000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-06,01,03,30000,42000,60000,15,30000,42000,60000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-06,01,04,19000,22000,25000,15,19000,22000,25000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-07,01,03,26000,27500,31000,3050,26000,28000,32000,2410,24000,25500,27000,100,26000,26500,30000,375,25500,27000,29000,165
CAH02-04-07,01,04,25500,27000,30000,75,25500,27000,30000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-07,02,03,25500,28000,33500,150,26500,29000,33500,115,24000,25000,26000,20,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-07,02,04,25000,33000,37000,15,21000,25000,35000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-08,01,03,25500,27000,29000,420,25500,27000,30000,310,25000,26000,28000,40,26000,26000,30000,70,NA,NA,NA,NA
CAH02-04-08,02,03,26000,28000,31000,15,27000,29000,31500,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-09,01,03,26000,28000,32500,100,26000,28000,32000,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-09,01,04,26000,34000,39000,20,26000,34000,39000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-09,02,03,34000,36000,41500,170,34000,36000,42000,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-09,02,04,32000,34000,38000,190,32000,34000,38000,175,NA,NA,NA,NA,NA,NA,NA,NA,33000,33000,33500,10
CAH02-05,01,03,23000,27000,29500,6535,23000,27000,29500,5520,23000,25000,27000,245,23500,26500,30000,505,25000,27000,28000,255
CAH02-05,01,04,24000,27000,32000,45,24000,28000,34000,25,NA,NA,NA,NA,26000,30000,30000,10,NA,NA,NA,NA
CAH02-05,02,03,24000,27500,32500,200,24000,27500,33000,170,21500,25000,27000,15,27500,28000,32000,15,NA,NA,NA,NA
CAH02-05,02,04,25000,28000,32500,105,25000,28500,35500,70,NA,NA,NA,NA,25000,27500,30000,15,25000,25500,28000,10
CAH02-05-01,01,03,27000,28000,30000,1540,27000,28000,30000,1225,25000,25500,27000,75,27000,30000,30500,125,26500,27000,28500,115
CAH02-05-01,01,04,24000,24000,28500,10,24000,24000,28500,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-01,02,03,25500,28000,28500,15,25500,28000,28500,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-01,02,04,24000,26000,28500,20,NA,NA,NA,NA,NA,NA,NA,NA,19000,25000,27500,10,NA,NA,NA,NA
